"Nivåer vv"	"7PCBs"	"ΣDDTs"	"ΣHCHs"	"HCB"	"TNC"	"Norm.til fiskevekt:"	"Year"	"PCB7/wish weight"	"SumDDT/fish weight"	"SumHCH/fish weight"	"HCB/fish weight"	"TNC/fish weight"		"levervekt"	"LSI"	"fett %"
"2000cod3"	96.6907591819763	97.1976144989039	4.1604500412941	20.309871673584	34.8400001525879		2000	0.320168076761511	0.32184640562551	0.013776324640047	0.067251230707232	0.115364238915854				43.5067310849477
"2000cod4"	218.150990247726	95.6426620062866	0.925574164837599	5.39832353591919	36.926230430603		2000	0.956802588805818	0.419485359676696	0.004059535810691	0.023676857613681	0.161957151011417				7.95033911943898
"2000cod5"	101.509058952332	108.294018160321	4.26717591285706	25.1349601745605	41.9315166473389		2000	0.151732524592424	0.161874466607355	0.006378439331625	0.037570941964964	0.062677902312913				51.3551937628984
"2000cod6"	93.1384489649208	79.0065489866265	1.00457619875669	6.54224348068237	32.2897901535034		2000	0.31359747126236	0.266015316453288	0.003382411443625	0.022027755827213	0.108719832166678				9.81360071988688
"2000cod7"	96.5041587406013	67.1087780403923	4.70785443484783	18.142	26.0209484100342		2000	0.146218422334244	0.101679966727867	0.007133112780072	0.027487878787879	0.039425679409143				55.1804332194859
"2000cod8"	96.7291474342346	91.6593937536254	4.76146492362022	26.5505790710449	36.8246784210205		2000	0.057236181913748	0.054236327664867	0.002817434866047	0.015710401817186	0.021789750544983				54.7210916926023
"2000cod9"	108.773899078369	101.368629698178	3.19346557557583	22.1723651885986	42.2450408935547		2000	0.212864773147493	0.198373052246923	0.00624944339643	0.043390147140115	0.082671312903238				37.0694177303724
"2000cod10"	271.926652908325	175.713110797749	2.90379291772842	22.5583267211914	64.3214855194092		2000	1.05397927483847	0.681058568983525	0.011255011309025	0.087435374888339	0.249308083408563				25.1443894389439
"2000cod11"	66.7184681353683	26.3581997899109	0.268434345722198	1.982541680336	13.3765280246735		2000	0.215220864952801	0.085026450935197	0.000865917244265	0.006395295743019	0.043150090402173				4.10235580828599
"2000cod12"	150.948018074036	100.391465619092	1.88526354730129	17.863338470459	41.4095344543457		2000	0.405774242134504	0.269869531234118	0.005067912761563	0.048019727071126	0.111315952834263				17.7224479098414
"2000cod13"	88.2983189728693	36.1762984368852	0.736403167247772	3.52508759498596	19.420361995697		2000	0.263577071560804	0.107988950557866	0.002198218409695	0.010522649537272	0.057971229837902				5.17834095975595
"2000cod14"	80.8163690567017	74.1510061413301	4.73525606095791	18.1873664855957	34.6611652374268		2000	0.129513411949842	0.118831740611106	0.00758855137974	0.029146420649993	0.055546739162543				49.6244665058452
"2000cod15"	246.747878074646	157.227443099489	2.06034275889397	13.9954719543457	50.5026206970215		2000	0.666886156958503	0.424939035404025	0.005568493942957	0.03782559987661	0.136493569451409				15.013397642015
"2000cod16"	67.1453852653503	73.3830448081735	4.03539551794529	17.6198310852051	26.2283935546875		2000	0.041193487892853	0.04502027288845	0.002475702771746	0.010809712322212	0.016091038990606				52.0818894765639
"2000cod17"	261.688594341278	137.080261961792	2.14827877283096	16.5021839141846	52.4273643493652		2000	0.588064256946692	0.308045532498408	0.004827592747935	0.037083559357718	0.117814301908686				23.0062837614375
"2000cod18"	145.240327835083	134.588940371761	3.7748699337244	22.352108001709	53.029239654541		2000	0.305769111231754	0.28334513762476	0.007947094597315	0.047057069477282	0.111640504535876				41.5559222038898
"2000cod19"	187.808915615082	129.824485883235	2.38135759532452	16.4834079742432	60.2676601409912		2000	0.508967250989382	0.351827875022317	0.006453543618766	0.044670482315022	0.163326992252009				22.4072869225764
"2000cod20"	61.1320497989655	54.7578427888238	4.9809558391571	16.4678115844727	21.9717655181885		2000	0.061132049798966	0.054757842788824	0.004980955839157	0.016467811584473	0.021971765518189				51.8757489169509
"2000cod21"	136.84362745285	98.842086869643	3.19525699317455	19.0072860717773	37.6958169937134		2000	0.574973224591808	0.415302886006903	0.013425449551154	0.079862546520073	0.158385785687871				31.4237711213518
"2000cod22"	188.167980909348	106.582082665411	2.5606597661972	12.0595178604126	43.1789293289185		2000	0.337824023176566	0.191350238178475	0.004597234768756	0.021650839964834	0.077520519441505				24.3661340290233
"2000cod23"	163.183640956879	133.058958625888	4.08355559408665	17.4955730438232	34.2462997436523		2000	0.129203199490799	0.105351511184393	0.003233218997693	0.01385239354222	0.027115043344143				44.5752200876014
"2000cod24"	119.134518207141	72.085165058148	2.93421520161629	20.193	28.47		2000	0.258988083059003	0.156706880561191	0.006378728699166	0.043897826086957	0.061891304347826				31.8918596323705
"2000cod25"	171.883481780774	39.9541472558649	4.65521520161629	9.573	33.372		2000	0.068072666051792	0.015823424655788	0.001843649584799	0.003791287128713	0.013216633663366				52.414857598088
"2003cod1"	121.264383534627	127.639733001746	3.61125718937998	28.2991169757907	54.9344246627505		2003	0.101053652945522	0.106366444168122	0.00300938099115	0.023582597479826	0.045778687218959				47.1271320904403
"2003cod2"	216.025783551162	200.423864220026	2.96415374441327	31.9518142408842	76.6645423814978		2003	0.074749406073067	0.069350818069213	0.001025658735091	0.011055991086811	0.026527523315397		100	3.46020761245675	39.5380145493257
"2003cod3"	217.54715229812	185.955818983505	3.26158575391093	28.3527213912311	74.4686105153349		2003	0.070862264592222	0.060571928007656	0.001062405783033	0.009235414133952	0.02425687638936				40.4017857142857
"2003cod4"	98.7836097595494	101.054995564168	2.4650402016819	15.5138702818273	42.1899481349296		2003	0.053109467612661	0.054330642776434	0.001325290431012	0.008340790474101	0.022682767814478				22.2750399767408
"2003cod5"	247.743551408125	183.419286525229	4.07864713310671	29.4965209318194	23.164884084517		2003	0.073733199823847	0.054589073370604	0.001213883075329	0.008778726467803	0.00689431073944		120	3.57142857142857	49.8151950718686
"2003cod6"	128.3945	98.9876		29.6306	28.34		2003	0.064845696317244	0.049993715741121		0.014964941291526	0.014313148029562				55.827149981754
"2003cod7"	115.713556008595	139.91091616888	5.40301772943133	39.8586456039053	55.3110281243086		2003	0.04761874732864	0.057576508711473	0.002223464086186	0.016402734816422	0.022761739968851		100	4.11522633744856	60.8136897129895
"2003cod8"	270.089167355578	206.488008591481	4.67364861203528	33.8950843765689	91.2577149482679		2003	0.090029722451859	0.068829336197161	0.001557882870678	0.011298361458856	0.030419238316089				38.2274654876839
"2003cod9"	286.735190313232	225.79397196541	3.95318584008235	41.6014362325657	102.254197723108		2003	0.119522797129317	0.094120038334894	0.001647847369772	0.017341157245755	0.042623675582788				38.2116580433854
"2003cod10"	156.986478124205	159.299359523434	4.28676532019074	22.3702185436636	76.72486981904		2003	0.098116548827628	0.099562099702147	0.002679228325119	0.01398138658979	0.0479530436369				29.8240745209711
"2003cod11"	220.786166469123	211.23150549289	3.79384330300482	26.2211670920952	75.7486219680257		2003	0.102215817809779	0.097792363654116	0.001756408936576	0.012139429209303	0.035068806466679				41.0793316272769
"2003cod12"	206.504590135247	206.69383803039	4.33938655994899	33.0544084591237	81.5428355706887		2003	0.09516340559228	0.095250616603866	0.001999717308732	0.015232446294527	0.037577343580963				48.2227431469167
"2003cod13"	255.768653733814	216.58183940798	3.94702462091528	21.7230235132131	86.9464653787877		2003	0.087293055881848	0.073918716521495	0.001347107379152	0.007414001199049	0.029674561562726				30.6225600986234
"2003cod14"	140.751443237792	157.296591857371	4.07201888873167	31.4543253487584	62.8167196967649		2003	0.039426174576412	0.044060669988059	0.00114062153746	0.008810735391809	0.017595719803015				47.5410801000638
"2003cod15"	160.80210263324	175.408849741833	4.75361508914756	35.3575167868693	60.6931692071224		2003	0.048000627651714	0.052360850669204	0.00141898957885	0.010554482622946	0.018117363942425		132	3.94029850746269	64.140610459706
"2003cod16"	104.601818062304	86.8366500399135	5.52951351814799	28.7523597301382	35.0736955694415		2003	0.089403263301114	0.074219359008473	0.004726079930041	0.024574666436016	0.029977517580719				57.695939565628
"2003cod17"	200.366143425284	199.388276936416	3.72572462897745	31.3875827971104	81.2355049358359		2003	0.140116184213485	0.139432361493997	0.002605401838446	0.021949358599378	0.056808045409676				34.6218842416561
"2003cod18"	328.364584429976	223.031973672031	2.44303482322071	15.4269237683501	96.670503831489		2003	0.135129458613159	0.091782705214828	0.001005364124782	0.006348528299733	0.039782100342177				18.2738514124862
"2003cod19"	102.388007409026	127.345341817319	2.44447339683835	15.3608593641826	49.4139640899064		2003	0.099405832435947	0.123636254191572	0.002373275142562	0.014913455693381	0.047974722417385				15.3651246821609
"2003cod20"	139.964419918192	147.941856512256	5.18047605449713	30.305785878847	66.5310291843993		2003	0.106033651453176	0.112077164024437	0.003924603071589	0.022958928696096	0.050402294836666				45.9160825054213
"2003cod21"	255.990868947094	213.403326790914	6.08877471448642	37.5105498785582	95.9641914474176		2003	0.058312270830773	0.048611236171051	0.001386964627446	0.008544544391471	0.021859724703284				47.933147632312
"2003cod22"	204.452843115433	190.911349555851	4.8316111307972	30.0943771529121	81.5496665558843		2003	0.17504524239335	0.163451497907407	0.004136653365409	0.025765733863795	0.069819919996476				44.6963013233797
"2003cod23"	144.049852073599	148.911030287609	3.41967993178734	15.2163386704634	58.1683304677272		2003	0.117113700872845	0.121065878282609	0.002780227586819	0.012371007049157	0.047291325583518				29.0891069960838
"2003cod24"	118.43786526329	204.565690292706	13.2545676809803	33.6033198972158	94.2342764414555		2003	0.087731752046882	0.15153014095756	0.009818198282208	0.024891348072012	0.069803167734412				60.6173813279794
"2003cod25"	144.226308246353	148.516504499436	5.3984631364279	34.7641068832508	61.2963705324466		2003	0.134164007671026	0.138154887906452	0.005021826173421	0.032338704077443	0.057019879565067				52.4302443991853
"2007cod1"	154.959494105869	81.6012521771292	2.12398949611473	8.80653684828367	33.4890467265355		2007	0.060531052385105	0.031875489131691	0.00082968339692	0.003440053456361	0.013081658877553		95.6	3.734375	56.8620037807183
"2007cod2"	79.4431656414072	44.9248223674322	2.02185658666763	5.69312287430916	23.1444131233321		2007	0.113490236630582	0.06417831766776	0.002888366552382	0.008133032677585	0.033063447319046		28.4	4.05714285714286	46.4285714285714
"2007cod3"	93.0907449287653	53.4435210816729	0.545057872238239	0.89075907447843	19.668116630955		2007	0.186181489857531	0.106887042163346	0.001090115744476	0.001781518148957	0.03933623326191		8.6	1.72	15.3955074982301
"2007cod4"	117.824872919519	65.9776814886349	2.92562744448404	8.76394366350758	28.3233519559095		2007	0.063346705870709	0.035471871768083	0.001572917980905	0.004711797668552	0.015227608578446		68.1	3.66129032258064	60.8090310442145
"2007cod5"	206.201009535771	82.125973315334	1.42952695968587	4.39166861079512	32.3775407115506		2007	0.130506968060615	0.051978464123629	0.000904763898535	0.00277953709544	0.020492114374399		44.9	2.84177215189873	36.3228990778023
"2007cod6"	129.77921828305	69.3852294103483	2.25083012116452	9.189418401062	31.3414451639933		2007	0.043259739427684	0.02312840980345	0.000750276707055	0.003063139467021	0.010447148387998		117.5	3.91666666666667	58.222433460076
"2007cod7"	110.681294181879	53.902805579502	2.20641019581488	6.71746057296197	24.9306269603686		2007	0.120305754545521	0.058590006064676	0.002398271951973	0.007301587579306	0.027098507565618		37.7	4.09782608695652	57.5657055371268
"2007cod8"	158.469471168353	82.317427439653	1.18591092827663	10.6522996531048	32.0832309749731		2007	0.15536222663564	0.080703360234954	0.00116265777282	0.010443431032456	0.03145414801468		27.5	2.69607843137255	30.329350984824
"2007cod9"	359.787164262968	228.524195221629	1.57815807077216	20.8944123056581	90.2624188389832		2007	0.094680832700781	0.060137946110955	0.000415304755466	0.005498529554121	0.023753268115522		90.1	2.37105263157895	41.145587541293
"2007cod10"	261.529165767514	64.9140414345913	1.92717369933883	11.3157630415607	22.4325099930848		2007	0.210910617554446	0.052350033414993	0.001554172338176	0.009125615356097	0.018090733865391		46.5	3.75	46.024395016633
"2007cod11"	149.990576789173	67.0731382833788	2.10933641426862	16.3985654166884	27.470244076255		2007	0.161280190095885	0.072121654068149	0.002268103671257	0.01763286603945	0.029537896856188		33.8	3.63440860215054	52.4144752152665
"2007cod12"	90.9596449594686	72.490931934951	2.54615854462478	21.2422129971855	27.8743662607237		2007	0.028424889049834	0.022653416229672	0.000795674545195	0.00663819156162	0.008710739456476		216.8	6.775	65.0540768084969
"2007cod13"	101.588852016104	43.4490527176967	2.39322879372954	14.3399081478512	23.3773282606244		2007	0.101588852016104	0.043449052717697	0.00239322879373	0.014339908147851	0.023377328260625		52	5.2	61.0035559067563
"2007cod14"	107.439985705185	106.362621935914	1.44976853732725	22.2702856908472	41.7890973555478		2007	0.028273680448733	0.027990163667346	0.000381518036139	0.005860601497591	0.010997130883039		221.3	5.82368421052632	64.40236840393
"2007cod15"	340.452737859479	223.727530250428	2.63829539345952	12.7793478270381	67.8927313628591		2007	0.092014253475535	0.060466900067683	0.000713052809043	0.003453877791091	0.018349386854827		118.6	3.2054054054054	37.6996185427038
"2007cod16"	202.647298581705	137.771012119418	2.76827815680309	37.9999285992679	54.364423179965		2007	0.046056204223115	0.031311593663504	0.000629154126546	0.008636347408925	0.012355550722719		158.5	3.60227272727273	58.6495176848875
"2007cod17"	105.241075614572	56.1383625614579	1.78355021303508	10.8392978183633	25.8951311251306		2007	0.161909347099341	0.086366711633012	0.002743923404669	0.016675842797482	0.039838663269432		24.8	3.81538461538462	38.0440220110055
